"SUSHIUSDT",
"ZRXUSDT",
"BADGERUSDT",
"BLUEBIRDUSDT",
"IMXUSDT",
"NEARBUSD",
"ARUSDT",
"GMTUSDT",
"QNTUSDT",
"MATICUSDT",
"RDNTUSDT",
"ALPHAUSDT",
"HBARUSDT",
"LTCUSDT",
"OGNUSDT",
"DGBUSDT",
"GASUSDT",
"POWRUSDT",
"APEUSDT",
"COCOSUSDT",
"KNCUSDT",
"AGLDUSDT",
"XVSUSDT",
"BCHUSDT",
"SOLBUSD",
"BATUSDT",
"ETHUSDT_231229",
"BALUSDT",
"TRXUSDT",
"OCEANUSDT",
"COTIUSDT",
"XRPUSDT",
"ORDIUSDT",
"TUSDT",
"XRPBUSD",
"ALGOUSDT",
"CVXUSDT",
"ATAUSDT",
"STMXUSDT",
"HIFIUSDT",
"KSMUSDT",
